"Month","x"
"04/2009",17
"04/2011",5
"04/2014",154
"05/2005",31
"05/2008",1
"05/2009",30
"05/2010",41
"05/2011",7
"05/2012",17
"05/2013",50
"05/2014",25
"06/2004",1
"06/2010",4
"06/2013",35
"07/2009",8
"07/2011",6
"07/2012",2
"07/2014",8
"08/2003",1
"08/2004",2
"08/2005",1
"08/2009",12
"08/2010",4
"08/2011",2
"08/2012",15
"08/2013",28
"08/2014",4
