"Month","x"
"06/2009",4
"06/2012",1
"06/2014",2
"07/2004",3
"07/2005",31
"07/2007",1
"07/2008",29
"07/2009",42
"07/2010",89
"07/2011",158
"07/2012",602
"07/2013",120
"07/2014",70
"08/1982",1
"08/2002",18
"08/2007",11
"08/2008",149
"08/2009",63
"08/2010",204
"08/2011",172
"08/2012",369
"08/2013",1270
"08/2014",583
"09/2004",100
"09/2007",1
"09/2009",1
"09/2010",40
"09/2011",3
"09/2013",77
"10/2014",3
