"Month","x"
"05/2009",9
"05/2010",57
"05/2012",30
"05/2014",37
"06/2010",1
"06/2011",16
"06/2013",37
"06/2014",2
"07/2009",1
"07/2010",1
"07/2011",1
"07/2014",7
"08/2004",1
"08/2009",1
"08/2010",7
"08/2013",1
