"Month","x"
"04/2011",6
"04/2014",102
"05/2010",2
"05/2011",28
"05/2012",11
"05/2013",2
"05/2014",47
"06/2011",1
"06/2012",16
"06/2013",9
"06/2014",6
"07/2009",3
"07/2010",5
"07/2011",24
"07/2012",4
"07/2013",153
"07/2014",91
"08/2009",26
"08/2010",39
"08/2011",12
"08/2012",145
"08/2013",71
"08/2014",17
"09/2010",1
"09/2012",19
"09/2013",4
"09/2014",12
