"Month","x"
"04/2009",14
"04/2010",14
"04/2011",181
"04/2013",5
"04/2014",221
"05/2009",112
"05/2010",153
"05/2011",187
"05/2012",198
"05/2013",100
"05/2014",624
"05/2034",1
"06/2012",11
"06/2013",92
"07/2014",2
