"Year","x"
"1974",1
"1977",5
"1983",1
"1984",2
"1986",1
"1987",1
"1988",1
"1989",3
"1990",2
"1991",11
"1992",20
"1993",4
"1994",35
"1995",31
"1996",95
"1997",85
"1998",39
"1999",124
"2000",38
"2001",66
"2002",232
"2003",191
"2004",160
"2005",377
"2006",485
"2007",1021
"2008",4235
"2009",9276
"2010",7759
"2011",7078
"2012",4551
"2013",9542
"2014",12860
