"Year","x"
"1983",1
"1984",1
"1988",2
"1989",3
"1990",5
"1991",36
"1993",24
"1994",37
"1995",12
"1996",111
"1997",97
"1998",164
"1999",341
"2000",20
"2001",53
"2002",391
"2003",761
"2004",964
"2005",513
"2006",363
"2007",536
"2008",11140
"2009",13826
"2010",19193
"2011",12434
"2012",13285
"2013",26125
"2014",22245
