"Year","x"
"1986",2
"1988",1
"1991",1
"1992",1
"1996",1
"1997",2
"1999",1
"2002",9
"2003",1
"2005",2
"2006",24
"2007",11
"2008",1
"2009",8
"2010",1
"2011",2
"2012",2
"2013",1
"2014",2
