"Year","x"
"1974",1
"1977",3
"1980",2
"1981",3
"1982",12
"1983",1
"1984",14
"1985",10
"1988",2
"1989",2
"1990",15
"1991",1
"1992",4
"1993",1
"1994",3
"1995",2
"1996",5
"1997",9
"1998",13
"1999",19
"2000",7
"2001",12
"2002",15
"2003",43
"2004",56
"2005",43
"2006",3
"2007",17
"2008",87
"2009",427
"2010",111
"2011",196
"2012",874
"2013",451
"2014",1039
