"Year","x"
"1974",1
"1976",1
"1977",17
"1978",1
"1979",1
"1981",20
"1982",1
"1983",1
"1984",5
"1985",81
"1986",7
"1987",192
"1988",3
"1989",4
"1990",131
"1991",621
"1992",547
"1993",48
"1994",88
"1995",565
"1996",406
"1997",265
"1998",142
"1999",235
"2000",115
"2001",40
"2002",463
"2003",1267
"2004",196
"2005",337
"2006",1559
"2007",1253
"2008",2761
"2009",14064
"2010",31092
"2011",14756
"2012",21264
"2013",47614
"2014",25616
"2015",298
"2041",1
"2046",1
