"Year","x"
"1990",1
"1992",2
"1993",2
"1995",4
"1996",3
"1997",24
"1999",12
"2001",1
"2002",5
"2003",6
"2004",8
"2005",6
"2006",14
"2007",1
"2008",17
"2009",91
"2010",102
"2011",221
"2012",146
"2013",345
"2014",455
