"Year","x"
"1984",1
"1987",1
"1988",1
"1990",1
"1991",5
"1993",8
"1994",2
"1995",2
"1996",1
"1997",1
"1998",1
"1999",7
"2000",12
"2001",13
"2002",4
"2003",74
"2004",14
"2005",22
"2006",25
"2007",26
"2008",274
"2009",867
"2010",926
"2011",1406
"2012",5061
"2013",5676
"2014",3550
"2015",1
