"Year","x"
"1982",2
"1985",1
"1986",2
"1988",1
"1989",5
"1990",1
"1993",1
"1996",2
"1997",5
"1998",4
"1999",370
"2000",225
"2001",133
"2002",80
"2003",176
"2004",17
"2005",5
"2006",42
"2007",31
"2008",53
"2009",450
"2010",595
"2011",555
"2012",474
"2013",1767
"2014",3153
