"Year","x"
"1974",1
"1992",1
"1994",1
"1996",1
"1997",2
"1998",4
"2002",3
"2003",5
"2004",3
"2005",1
"2006",10
"2007",16
"2008",14
"2009",39
"2010",5
"2011",45
"2012",246
"2013",137
"2014",32
