"Year","x"
"1991",1
"1994",3
"1995",5
"1996",1
"1997",1
"1998",1
"1999",1
"2000",4
"2003",1
"2006",1
"2008",29
"2009",66
"2010",45
"2011",298
"2012",661
"2013",64
"2014",42
"2015",30
