"Year","x"
"1974",1
"1982",1
"1983",2
"1984",4
"1986",1
"1987",4
"1988",2
"1990",12
"1991",32
"1992",3
"1993",73
"1994",50
"1995",160
"1996",177
"1997",105
"1998",95
"1999",287
"2000",259
"2001",206
"2002",706
"2003",1251
"2004",636
"2005",795
"2006",1667
"2007",1854
"2008",19247
"2009",33697
"2010",30917
"2011",27188
"2012",22597
"2013",51912
"2014",56514
