"Year","x"
"1974",1
"1981",1
"1983",1
"1984",1
"1986",1
"1987",4
"1988",5
"1989",1
"1990",7
"1991",3
"1992",12
"1993",8
"1994",8
"1995",22
"1996",62
"1997",4
"1998",11
"1999",57
"2000",25
"2001",15
"2002",55
"2003",86
"2004",56
"2005",113
"2006",185
"2007",376
"2008",1136
"2009",3098
"2010",4833
"2011",4838
"2012",1572
"2013",5456
"2014",5302
"2015",1
