"Year","x"
"1974",1
"1975",1
"1976",3
"1977",17
"1978",1
"1979",1
"1981",40
"1982",3
"1983",2
"1984",53
"1985",2
"1986",9
"1987",116
"1988",5
"1989",3
"1990",60
"1991",893
"1992",5160
"1993",35
"1994",265
"1995",426
"1996",252
"1997",72
"1998",28
"1999",44
"2000",20
"2001",13
"2002",80
"2003",509
"2004",173
"2005",145
"2006",227
"2007",108
"2008",69
"2009",637
"2010",1333
"2011",2804
"2012",5716
"2013",33040
"2014",31380
"2015",29
"2063",28
