"Year","x"
"1974",1
"1977",3
"1978",1
"1980",2
"1981",25
"1982",1
"1983",1
"1984",7
"1985",3
"1986",4
"1987",11
"1989",2
"1990",30
"1991",18
"1992",14
"1993",11
"1994",23
"1995",7
"1996",9
"1997",5
"1998",12
"1999",35
"2000",59
"2001",16
"2002",52
"2003",212
"2004",324
"2005",210
"2006",176
"2007",146
"2008",1113
"2009",2478
"2010",3593
"2011",3465
"2012",3149
"2013",5519
"2014",6270
