"Year","x"
"1974",1
"1976",1
"1981",19
"1983",2
"1984",5
"1985",1
"1986",4
"1987",48
"1988",23
"1990",72
"1991",74
"1992",727
"1993",76
"1994",326
"1995",262
"1996",229
"1997",310
"1998",106
"1999",207
"2000",159
"2001",190
"2002",375
"2003",928
"2004",217
"2005",653
"2006",1506
"2007",1109
"2008",6588
"2009",8144
"2010",18774
"2011",11971
"2012",18990
"2013",11990
"2014",29403
"2015",77
