"Year","x"
"1974",1
"1977",1
"1979",1
"1981",1
"1983",2
"1984",3
"1985",2
"1986",6
"1987",31
"1988",6
"1989",2
"1990",40
"1991",9
"1992",24
"1993",56
"1994",28
"1995",47
"1996",93
"1997",80
"1998",84
"1999",129
"2000",75
"2001",48
"2002",362
"2003",938
"2004",77
"2005",87
"2006",233
"2007",237
"2008",1006
"2009",4751
"2010",3393
"2011",3412
"2012",4144
"2013",9908
"2014",10104
