"Year","x"
"1974",1
"1977",1
"1981",5
"1982",3
"1983",1
"1984",9
"1986",7
"1987",31
"1988",1
"1990",6
"1991",6
"1992",69
"1993",50
"1994",88
"1995",10
"1996",100
"1997",116
"1998",32
"1999",269
"2000",108
"2001",111
"2002",127
"2003",777
"2004",474
"2005",362
"2006",1529
"2007",319
"2008",4311
"2009",36929
"2010",14390
"2011",4363
"2012",5297
"2013",18967
"2014",10494
