"Year","x"
"1986",1
"1987",1
"1991",3
"1992",3
"1993",1
"1994",5
"1995",2
"1996",213
"1997",3
"1998",15
"1999",35
"2000",6
"2001",9
"2002",180
"2003",142
"2004",123
"2005",136
"2006",643
"2007",145
"2008",2211
"2009",4822
"2010",9047
"2011",5587
"2012",4608
"2013",9178
"2014",12630
