"Year","x"
"1981",32
"1986",1
"1991",14
"1999",4
"2000",1
"2001",9
"2002",15
"2004",7
"2005",2
"2006",15
"2007",20
"2008",1294
"2009",3216
"2010",7159
"2011",2308
"2012",3755
"2013",4497
"2014",4590
"2041",1
"2046",1
