"Year","x"
"1983",1
"1984",1
"1985",2
"1988",4
"1989",1
"1991",109
"1992",1
"1993",3
"1994",4
"1995",29
"1996",16
"1997",2
"1998",29
"1999",10
"2000",48
"2001",102
"2002",80
"2003",180
"2004",35
"2005",161
"2006",273
"2007",375
"2008",1419
"2009",3171
"2010",6118
"2011",7695
"2012",3467
"2013",8074
"2014",11599
