"Year","x"
"1982",1
"1983",8
"1984",8
"1986",1
"1996",15
"1997",2
"1998",22
"1999",1
"2000",51
"2002",125
"2003",254
"2004",11
"2005",2
"2006",96
"2007",12
"2008",54
"2009",10001
"2010",110
"2011",28
"2012",107
"2013",15068
"2014",2945
