"Year","x"
"1974",1
"1981",1
"1983",2
"1984",5
"1986",2
"1987",61
"1988",3
"1989",1
"1990",12
"1991",4
"1992",13
"1993",35
"1994",10
"1995",41
"1996",69
"1997",37
"1998",31
"1999",118
"2000",58
"2001",16
"2002",126
"2003",718
"2004",796
"2005",737
"2006",654
"2007",79
"2008",4016
"2009",2921
"2010",2467
"2011",2325
"2012",1849
"2013",3041
"2014",2999
