"Year","x"
"1974",1
"1977",10
"1983",3
"1984",1
"1985",3
"1986",5
"1987",9
"1988",4
"1989",1
"1990",11
"1991",134
"1992",43
"1993",29
"1994",19
"1995",24
"1996",39
"1997",83
"1998",25
"1999",124
"2000",41
"2001",49
"2002",114
"2003",215
"2004",236
"2005",670
"2006",425
"2007",515
"2008",3464
"2009",6488
"2010",4985
"2011",5078
"2012",3807
"2013",5650
"2014",7908
