"Year","x"
"1971",7
"1974",1
"1977",1
"1983",2
"1984",5
"1985",6
"1986",10
"1987",4
"1988",2
"1989",1
"1990",4
"1991",1
"1992",33
"1993",44
"1994",9
"1995",61
"1996",8
"1997",7
"1998",17
"1999",22
"2000",31
"2001",27
"2002",28
"2003",199
"2004",134
"2005",271
"2006",390
"2007",166
"2008",394
"2009",1543
"2010",2027
"2011",2059
"2012",1165
"2013",1850
"2014",1346
"2041",1
"2046",1
