"Year","x"
"1987",1
"1992",3
"1998",5
"1999",4
"2000",3
"2002",2
"2003",3
"2004",2
"2005",2
"2006",50
"2007",31
"2008",83
"2009",330
"2010",1176
"2011",912
"2012",455
"2013",1237
"2014",1094
