"Year","x"
"1974",1
"1977",19
"1979",1
"1981",2
"1984",12
"1985",4
"1986",1
"1987",4
"1988",1
"1989",1
"1990",16
"1991",57
"1992",25
"1993",19
"1994",50
"1995",73
"1996",46
"1997",34
"1998",18
"1999",86
"2000",96
"2001",105
"2002",128
"2003",158
"2004",290
"2005",353
"2006",303
"2007",359
"2008",791
"2009",4517
"2010",5276
"2011",5768
"2012",3552
"2013",3843
"2014",5744
"2046",1
