"Year","x"
"1982",1
"1984",1
"1985",1
"1986",1
"1987",1
"1991",1
"1993",1
"1994",5
"1995",5
"1998",2
"1999",15
"2000",4
"2001",2
"2002",8
"2003",30
"2004",23
"2005",13
"2006",40
"2007",48
"2008",93
"2009",970
"2010",970
"2011",431
"2012",347
"2013",712
"2014",1800
