"Year","x"
"1974",1
"1977",11
"1978",1
"1981",1
"1983",1
"1984",5
"1986",2
"1987",2
"1988",1
"1990",2
"1991",129
"1992",30
"1993",31
"1994",42
"1995",141
"1996",148
"1997",151
"1998",177
"1999",53
"2000",73
"2001",193
"2002",211
"2003",661
"2004",572
"2005",2935
"2006",3451
"2007",3176
"2008",6353
"2009",18213
"2010",28454
"2011",15205
"2012",13411
"2013",19381
"2014",14344
"2015",1
