"Year","x"
"1996",1
"1997",1
"1998",1
"2000",50
"2001",286
"2002",329
"2003",342
"2004",238
"2005",126
"2006",61
"2007",336
"2008",778
"2009",1165
"2010",1329
"2011",946
"2012",395
"2013",1423
"2014",1781
"2015",461
