"Year","x"
"1974",1
"1977",3
"1982",1
"1983",1
"1984",3
"1985",3
"1986",3
"1987",2
"1988",13
"1990",32
"1991",30
"1992",64
"1993",1
"1994",57
"1995",70
"1996",1762
"1997",4
"1998",11
"1999",34
"2000",126
"2001",44
"2002",306
"2003",937
"2004",118
"2005",44
"2006",690
"2007",170
"2008",595
"2009",133829
"2010",1230
"2011",1051
"2012",1372
"2013",7215
"2014",2191
