"Year","x"
"1971",2
"1974",1
"1979",1
"1981",2
"1982",3
"1983",4
"1984",6
"1985",1
"1986",10
"1987",22
"1988",13
"1989",1
"1990",10
"1991",39
"1992",48
"1993",51
"1994",68
"1995",41
"1996",52
"1997",22
"1998",20
"1999",63
"2000",56
"2001",67
"2002",55
"2003",184
"2004",95
"2005",216
"2006",457
"2007",351
"2008",1493
"2009",6050
"2010",9118
"2011",5541
"2012",7649
"2013",9662
"2014",9853
"2015",6
"2046",1
