"Year","x"
"1983",1
"1985",1
"1988",1
"1993",8
"2000",3
"2001",1
"2002",36
"2003",20
"2004",90
"2005",61
"2006",221
"2007",79
"2008",418
"2009",1525
"2010",2068
"2011",1327
"2012",1287
"2013",2642
"2014",2157
