"Year","x"
"1974",1
"1977",2
"1980",3
"1981",2
"1983",1
"1984",6
"1985",1
"1986",1
"1987",36
"1989",1
"1990",12
"1991",117
"1992",36
"1993",66
"1994",78
"1995",106
"1996",720
"1997",90
"1998",152
"1999",358
"2000",319
"2001",254
"2002",304
"2003",301
"2004",276
"2005",695
"2006",1067
"2007",1085
"2008",6138
"2009",14659
"2010",9063
"2011",13021
"2012",13495
"2013",18015
"2014",26840
"2015",5
