"Year","x"
"1984",1
"1994",1
"1996",1
"1998",1
"1999",4
"2002",29
"2003",32
"2004",75
"2005",73
"2006",68
"2007",33
"2008",51
"2009",466
"2010",640
"2011",1479
"2012",1315
"2013",924
"2014",917
