"Year","x"
"1984",1
"1991",2
"1993",8
"1994",17
"1995",17
"1996",3
"1998",1
"1999",7
"2000",3
"2001",3
"2002",27
"2003",42
"2004",221
"2005",66
"2006",162
"2007",77
"2008",375
"2009",1559
"2010",1662
"2011",997
"2012",1116
"2013",1841
"2014",1249
