"Year","x"
"1974",1
"1976",2
"1977",2
"1983",3
"1984",7
"1985",1
"1986",3
"1987",12
"1988",1
"1989",1
"1990",34
"1991",63
"1992",2
"1993",2
"1994",2
"1995",18
"1996",12
"1997",10
"1998",12
"1999",35
"2000",23
"2001",23
"2002",64
"2003",222
"2004",231
"2005",209
"2006",512
"2007",230
"2008",2306
"2009",4915
"2010",6267
"2011",2289
"2012",3776
"2013",3415
"2014",3163
