"Year","x"
"1974",2
"1976",2
"1977",6
"1978",1
"1979",1
"1981",14
"1983",2
"1984",9
"1985",1
"1986",6
"1987",4
"1988",3
"1989",4
"1990",6
"1991",15
"1992",20
"1993",31
"1994",5
"1995",95
"1996",31
"1997",8
"1998",14
"1999",22
"2000",43
"2001",29
"2002",158
"2003",102
"2004",109
"2005",99
"2006",172
"2007",106
"2008",235
"2009",1741
"2010",2509
"2011",3711
"2012",3723
"2013",10594
"2014",14073
"2015",22
"2046",1
