"lon","lat","num"
4.723348618,51.33281038,"1"
5.024571419,51.34080006,"1"
5.027832985,51.3437087,"1"
5.027596951,51.34547793,"1"
5.027318001,51.34550473,"1"
5.027081966,51.34549133,"1"
5.026566982,51.34571918,"1"
5.027103424,51.34604085,"1"
5.024936199,51.34416442,"1"
5.025622845,51.34362828,"1"
5.024421215,51.34109495,"1"
5.024549961,51.34084027,"2"
5.024785995,51.34084027,"2"
5.025515556,51.34096091,"2"
5.025215149,51.34071963,"1"
5.024785995,51.34065261,"3"
5.024421215,51.33998238,"1"
5.024185181,51.33976791,"1"
5.023777485,51.34051856,"1"
4.810144901,51.49360856,"1"
4.722327603,51.33382774,"1"
4.442253113,51.38645923,"6"
4.610052109,51.36894049,"4"
4.876999913,51.20134611,"1"
5.451922417,50.95293897,"1"
4.437725544,51.4031681,"1"
3.466444016,51.15754642,"1"
5.50263226,51.06687945,"1"
4.932518005,51.37086949,"4"
4.932689667,51.36936917,"2"
4.931659698,51.37081591,"2"
5.167779922,51.28860073,"2"
4.43693161,51.40367677,"5"
4.932689667,51.37125171,"3"
5.430979729,50.99992886,"3"
4.582564831,51.36537699,"1"
5.623884201,50.93387546,"1"
5.639172429,50.93245031,"1"
4.930887222,51.37108382,"1"
4.801669121,51.27840072,"1"
4.428063154,51.402388,"1"
5.182542801,51.22473284,"1"
4.584817886,51.36749369,"1"
4.796090126,51.48919968,"1"
4.428063154,51.402388,"1"
4.439399242,51.40347598,"2"
4.81153965,51.49357516,"1"
4.428063154,51.402388,"1"
5.004358292,51.32723287,"4"
5.004358292,51.32723287,"3"
5.003929138,51.32771557,"1"
5.025215149,51.33854807,"3"
5.029335022,51.36127729,"2"
4.779417515,51.47981938,"5"
4.61824894,51.37354852,"2"
5.635128021,50.98080358,"1"
5.023756027,51.36079494,"5"
4.925093651,51.35980345,"2"
4.928827286,51.360259,"1"
4.428063154,51.402388,"5"
4.428063154,51.402388,"5"
3.339326356,51.07772588,"1"
5.545005798,51.06437805,"1"
4.439764023,51.38228106,"1"
4.875656692,51.21050997,"3"
5.665597916,50.97210275,"50"
4.721470414,51.33388542,"2"
5.665683746,50.97210275,"400"
5.02779007,51.34144346,"3"
4.72240448,51.33516989,"4"
5.451192856,50.95118166,"1"
4.437553883,51.40363661,"1"
4.436094761,51.40277723,"1"
4.434034824,51.4024158,"1"
4.800639153,51.27861548,"2"
5.028905869,51.33929875,"2"
5.454411507,50.95407442,"2"
4.59022522,51.36352815,"1"
5.450996962,50.94935157,"15"
5.043067932,51.22629165,"1"
4.722318649,51.33506265,"6"
4.723176956,51.33028986,"1"
4.428063154,51.402388,"6"
5.025215149,51.04970404,"1"
4.430623055,51.41004803,"1"
5.043497086,51.22650665,"1"
5.665769577,50.97215679,"60"
5.664095879,50.97085964,"40"
5.663280487,50.96953542,"50"
4.639577866,51.15929591,"1"
5.445013046,50.94977578,"1"
5.444841385,50.94933237,"1"
