"lon","lat","num"
4.931874275,51.37164642,"1"
5.339312553,51.08990621,"1"
5.029420853,51.34122899,"2"
4.930715561,51.37011933,"4"
4.582500458,51.35623924,"6"
5.02907753,51.34101452,"15"
4.930157661,51.37132493,"40"
4.563102722,51.34214047,"35"
4.589881897,51.36859219,"45"
5.029249191,51.34122899,"1"
4.570183754,51.34645633,"1"
4.570183754,51.34645633,"25"
5.314793952,51.07750451,"1"
5.029249191,51.34148099,"1"
4.929020405,51.37127403,"1"
4.927625656,51.37188754,"3"
5.415709207,51.25958914,"1"
5.33141613,51.08416981,"4"
5.33782833,51.088555,"1"
5.337775,51.08888833,"1"
5.32745167,51.10018333,"1"
5.32749,51.09984833,"1"
5.326505,51.09687,"2"
5.415709207,51.25958914,"1"
5.415709207,51.25958914,"1"
5.325536728,51.09775488,"4"
5.432825089,51.06017054,"20"
4.584066868,51.35602484,"1"
4.931638241,51.37224921,"1"
4.583787918,51.35607844,"1"
4.929170072,51.37151894,"2"
5.415709207,51.25958914,"1"
4.933297062,51.37033139,"1"
5.420073867,51.2639109,"1"
5.415709207,51.25958914,"1"
5.33220667,51.080345,"1"
5.33353167,51.080785,"1"
4.568552971,51.34817184,"1"
5.434112549,51.05823567,"50"
5.332553387,51.08084211,"2"
5.022511482,51.33707708,"1"
4.599580765,51.37108739,"1"
5.429633195,51.05978369,"10"
4.933977127,51.37060158,"3"
5.017232895,51.46502344,"1"
4.931509495,51.3724066,"2"
4.930157661,51.37191768,"10"
4.930458069,51.37215544,"1"
4.930458069,51.37215544,"2"
4.930458069,51.37215544,"24"
5.420207977,51.26384836,"4"
4.933297062,51.37033139,"1"
4.933297062,51.37033139,"20"
4.930200577,51.37151247,"1"
4.929728508,51.37164642,"1"
5.029109716,51.34087244,"1"
5.423898697,51.2675003,"1"
5.419993401,51.26383224,"4"
5.4205513,51.26453043,"3"
5.421538353,51.26565825,"1"
4.929986,51.37092039,"1"
5.420004129,51.26368813,"2"
5.433661938,51.06018402,"20"
5.432653427,51.06006265,"20"
5.421881676,51.2654864,"100"
5.414548516,51.26042036,"50"
5.422525406,51.26621141,"2"
5.422525406,51.26621141,"1"
4.586319923,51.3592005,"1"
4.59086895,51.36468034,"40"
5.432395935,51.05997499,"10"
5.017403921,51.33834384,"100"
5.027794792,51.33754831,"1"
4.931268645,51.37036539,"20"
5.418107527,51.26190759,"4"
5.418107527,51.26190759,"6"
5.416487473,51.26145106,"1"
5.42141462,51.26500468,"4"
5.426457173,51.26899217,"2"
5.426972157,51.26746166,"1"
5.41554099,51.25969478,"2"
4.937692866,51.3697767,"1"
5.415709207,51.25958914,"1"
5.415709207,51.25958914,"29"
4.581307265,51.3572159,"5"
4.58190808,51.35684071,"5"
5.415709207,51.25958914,"2"
5.415709207,51.25958914,"17"
5.413633602,51.26030971,"8"
4.930238677,51.37154419,"6"
4.930238677,51.37154419,"18"
4.586632336,51.35909807,"1"
5.433115,51.06026167,"31"
5.43226833,51.06005,"26"
4.570739361,51.34914197,"1"
4.570943209,51.34960434,"4"
4.933242751,51.37068688,"1"
5.43394667,51.06034667,"100"
5.43406731,51.06029218,"10"
5.425831737,51.26832346,"1"
5.421637314,51.26271323,"1"
5.422241044,51.26503419,"1"
5.411941362,51.25934102,"5"
5.413400484,51.25923359,"1"
5.417777849,51.26157003,"2"
4.930585395,51.37103382,"1"
4.931231708,51.37073871,"50"
4.571691546,51.35023422,"3"
4.927842162,51.37210445,"1"
4.937692866,51.3697767,"7"
4.929637862,51.37154419,"3"
5.413096382,51.25946063,"1"
5.428545906,51.26977225,"1"
4.582702014,51.35623772,"1"
4.92975,51.371352,"2"
4.929716,51.371355,"10"
5.415709207,51.25958914,"1"
4.930432852,51.3705931,"2"
5.41412635,51.26096455,"1"
5.420778228,51.26483156,"3"
4.933297062,51.37033139,"2"
4.933297062,51.37033139,"40"
5.414601868,51.26021915,"5"
5.337628126,51.08859837,"1"
5.338888764,51.08886123,"43"
